cycles         instructions   cache-references  cache-misses  branches     branch-misses  page-faults  Power
103,480,207    56,441,416     1,266,352         139,183       10,300,993   542,802        2,522        6.2
815,518,357    693,362,240    8,047,442         2,158,213     149,283,928  1,420,262      3,373        6.9
106,187,273    58,122,822     1,619,741         209,934       10,836,720   611,145        4,300        8.5
125,063,297    77,982,534     1,906,073         199,066       14,367,426   729,488        4,350        6.5
182,805,494    147,493,191    2,377,988         229,570       26,559,526   1,511,368      4,331        7.1
121,993,543    73,977,064     1,758,615         193,979       13,676,173   796,645        4,309        7.3
120,637,666    73,216,274     1,736,701         178,257       13,645,252   774,498        4,294        6.4
126,445,501    90,356,420     1,885,081         199,758       16,557,223   758,264        4,380        6.6
162,850,115    121,155,060    2,163,669         223,794       22,277,483   1,196,040      4,343        6.9
61,886,796     34,281,526     765,502           116,163       6,072,885    289,407        1,013        7.0
169,870,065    116,636,959    2,440,220         250,292       21,512,184   993,001        4,318        6.5
114,417,648    81,621,904     1,681,924         176,829       15,108,495   673,521        4,356        7.3
169,398,745    121,971,699    2,440,577         280,010       22,226,805   1,131,617      4,419        6.6
128,434,731    79,411,937     1,913,040         224,004       14,709,057   762,337        4,345        7.8
138,978,439    94,108,774     1,892,879         194,908       17,240,069   980,192        4,337        7.0
132,051,243    77,356,378     1,931,562         215,889       14,409,172   837,565        4,324        7.0
105,713,590    60,728,168     1,666,295         175,963       11,279,685   622,326        4,320        6.9
127,412,658    78,075,284     1,821,949         179,978       14,435,606   883,334        4,334        6.6
121,761,355    84,325,142     1,829,999         196,735       15,528,930   712,270        4,362        6.7
163,608,853    111,229,371    2,260,118         247,394       20,212,799   1,148,417      4,350        7.2
185,581,948    134,468,831    2,369,654         291,702       25,229,040   1,318,247      4,354        7.6
124,180,002    81,724,686     1,878,353         240,125       15,127,286   721,678        4,361        7.0
258,022,810    208,234,823    3,398,581         265,259       38,069,199   2,175,390      4,317        7.0
133,984,226    69,219,132     1,842,510         223,320       12,956,280   694,015        4,331        7.7
118,038,987    74,262,972     1,720,343         168,004       13,684,169   791,323        4,309        8.0
432,341,413    479,467,144    5,036,745         360,968       84,466,563   3,704,724      4,441        6.3
108,169,272    57,561,234     1,640,392         208,652       10,720,356   608,207        4,305        9.3
210,851,026    186,871,436    2,574,607         205,653       33,313,455   1,855,204      4,315        6.6
123,552,749    74,624,096     1,808,526         214,263       13,840,373   792,346        4,311        7.2
143,379,236    112,245,223    1,946,351         217,124       20,395,499   954,479        4,398        6.7
113,941,022    68,573,838     1,710,314         204,194       12,728,048   699,175        4,309        6.9
112,942,493    62,939,862     1,763,598         193,760       11,749,682   680,941        4,315        6.5
316,408,031    287,916,806    3,652,525         280,778       51,686,729   3,029,510      4,321        6.7
123,270,494    79,084,474     1,816,256         231,305       14,617,281   712,755        4,349        7.9
359,640,048    354,182,382    4,213,168         268,811       64,165,219   3,261,339      4,357        7.0
51,335,495     29,903,684     642,034           104,216       5,208,660    235,441        1,013        8.5
125,878,481    80,030,691     1,817,233         197,762       14,764,250   830,137        4,340        6.1
165,169,250    105,292,432    2,097,919         202,842       19,490,988   1,055,110      3,868        6.9
86,158,861     51,123,817     1,234,841         168,907       9,449,231    476,881        2,604        6.9
577,131,365    658,793,298    6,093,301         317,304       116,667,737  5,384,767      1,654        6.4
164,774,081    126,720,346    2,073,456         267,788       22,983,420   1,306,819      4,358        9.5
154,905,094    108,167,589    2,166,097         281,887       20,101,764   970,327        4,380        6.6
134,726,898    104,373,115    1,884,988         226,404       19,082,946   779,757        4,426        7.3
123,187,344    83,263,954     1,806,798         198,154       15,407,738   701,517        4,378        6.8
139,722,365    88,329,511     2,036,990         272,694       16,483,339   904,910        4,338        6.9
124,899,142    64,091,420     1,753,190         206,051       11,959,395   646,376        4,336        6.7
154,169,162    118,169,440    2,061,619         191,310       21,659,432   1,239,862      4,323        7.5
123,842,212    78,169,306     1,898,028         238,269       14,514,102   735,102        4,362        6.7
115,710,932    69,306,356     1,727,868         202,993       12,765,957   662,621        4,345        7.1
162,645,629    118,171,535    2,200,437         251,150       21,389,246   1,205,520      4,382        6.8
108,368,687    57,759,212     1,649,565         186,043       10,775,862   607,164        4,320        7.2
139,714,663    75,656,146     2,386,263         188,621       14,246,526   851,642        4,315        6.7
108,870,818    60,265,486     1,692,400         176,712       11,291,952   626,462        4,314        7.1
120,139,172    68,883,994     1,691,490         177,073       12,850,626   661,712        4,329        6.9
115,494,558    71,599,305     1,785,535         188,345       13,271,245   693,526        4,352        6.6
131,798,564    76,283,138     1,886,387         226,449       14,206,277   825,774        4,324        7.1
130,749,168    83,490,142     1,899,856         217,388       15,335,400   788,394        4,357        7.2
121,597,674    81,649,782     1,784,588         202,631       15,123,023   741,168        4,365        7.0
129,741,109    74,196,921     1,813,557         197,912       13,796,269   687,091        4,363        6.8
