LLC-loads  LLC-load-misses  LLC-stores  LLC-store-misses  dTLB-loads  dTLB-load-misses  dTLB-stores  dTLB-store-misses  Power
517,704    61,102           200,471     61,665            <not        0                 <not         18,239             6.3
1,333,975  110,297          393,418     95,168            <not        0                 <not         43,305             8.5
457,957    73,358           282,237     81,786            <not        0                 <not         17,826             6.3
467,831    65,033           258,695     60,639            <not        0                 <not         19,262             6.3
583,774    61,827           168,060     71,889            <not        0                 <not         26,861             6.3
520,325    56,327           194,168     58,362            <not        0                 <not         20,027             6.4
663,185    88,466           303,668     56,604            <not        0                 <not         18,475             6.5
572,537    45,838           152,328     95,396            <not        0                 <not         25,028             6.1
532,405    61,266           208,147     67,228            <not        0                 <not         22,302             6.8
599,174    77,992           241,927     105,141           <not        0                 <not         21,601             7.6
160,473    34,986           277,095     83,164            <not        0                 <not         8,823              6.2
477,960    51,677           199,119     62,392            <not        0                 <not         20,723             6.2
535,418    59,708           163,798     52,838            <not        0                 <not         18,984             6.5
571,254    67,345           204,008     64,869            <not        0                 <not         18,542             6.4
561,459    62,799           241,489     199,964           <not        0                 <not         25,074             6.6
513,222    74,854           265,075     211,559           <not        0                 <not         25,868             6.4
473,034    70,900           232,417     59,640            <not        0                 <not         16,586             6.3
293,017    64,274           241,117     63,581            <not        0                 <not         24,822             6.5
615,194    64,943           197,336     62,071            <not        0                 <not         27,915             6.5
407,852    58,882           297,311     50,055            <not        0                 <not         18,255             6.3
570,184    50,633           186,545     120,586           <not        0                 <not         24,029             6.3
563,170    74,896           217,315     59,777            <not        0                 <not         19,637             6.6
554,257    59,580           164,213     68,762            <not        0                 <not         25,881             6.5
478,000    39,776           225,347     87,639            <not        0                 <not         23,998             6.5
773,630    57,203           128,543     60,635            <not        0                 <not         24,561             6.6
706,953    65,393           276,384     158,775           <not        0                 <not         20,669             6.9
778,926    90,713           165,038     76,243            <not        0                 <not         20,427             7.0
579,177    72,309           200,177     93,918            <not        0                 <not         26,684             6.7
576,574    61,401           330,425     175,950           <not        0                 <not         27,174             6.5
474,694    65,092           205,190     61,021            <not        0                 <not         19,323             6.5
800,854    66,119           357,420     89,995            <not        0                 <not         33,724             7.5
743,830    78,907           190,959     67,702            <not        0                 <not         19,558             7.3
477,486    65,975           283,082     85,725            <not        0                 <not         19,206             6.5
892,999    79,023           448,590     205,736           <not        0                 <not         24,678             7.3
435,136    67,118           252,013     69,341            <not        0                 <not         25,071             6.7
419,539    60,762           378,332     138,710           <not        0                 <not         25,784             6.5
282,275    35,272           88,079      92,357            <not        0                 <not         8,158              6.2
428,685    51,403           279,121     75,778            <not        0                 <not         20,107             6.6
584,794    78,576           283,894     109,645           <not        0                 <not         28,795             6.9
415,235    61,952           278,329     86,891            <not        0                 <not         19,531             6.5
471,800    48,749           210,265     61,399            <not        0                 <not         21,210             6.4
708,174    91,069           423,108     123,969           <not        0                 <not         26,054             7.4
452,039    71,202           392,099     127,809           <not        0                 <not         19,576             6.7
819,334    77,282           142,684     75,508            <not        0                 <not         24,949             7.1
1,503,389  97,262           634,662     291,131           <not        0                 <not         46,210             9.4
405,583    81,533           232,835     79,720            <not        0                 <not         18,274             6.2
464,148    56,129           390,372     119,020           <not        0                 <not         19,106             6.9
506,364    62,339           204,247     62,650            <not        0                 <not         20,823             6.8
469,175    67,393           272,618     93,914            <not        0                 <not         21,080             7.1
541,235    73,792           179,401     62,899            <not        0                 <not         18,962             6.5
